#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
1,Paul Skenes,PIT,12,7,2.79,29,29,0,0,0,173.1,694,135,59,54,14,47,1,7,215
2,Tarik Skubal,DET,14,7,2.88,29,29,0,0,0,184.0,727,146,64,59,17,39,1,7,213
3,Zack Wheeler,PHI,14,8,3.28,30,30,0,0,0,192.0,774,158,76,70,21,48,1,8,205
4,Logan Webb,SFG,13,10,3.41,30,30,0,0,0,196.1,808,187,81,74,15,45,1,6,168
5,Garrett Crochet,BOS,11,7,3.21,29,29,0,0,1,152.2,615,121,59,54,16,44,2,6,199
6,Cole Ragans,KCR,11,9,3.46,30,30,0,0,0,178.1,739,147,75,69,18,66,3,6,205
7,George Kirby,SEA,13,9,3.50,30,30,0,0,0,180.2,726,169,76,70,22,25,1,7,169
8,Chris Sale,ATL,12,6,3.14,26,26,0,0,0,154.1,625,128,59,54,16,40,1,8,185
9,Framber Valdez,HOU,14,8,3.33,29,29,0,0,0,185.2,768,161,75,69,16,58,1,9,182
10,Dylan Cease,SDP,12,9,3.51,31,31,0,0,0,182.0,749,145,77,71,21,68,1,6,214
11,Logan Gilbert,SEA,12,9,3.39,31,31,0,0,0,194.0,773,161,79,73,25,39,2,5,200
12,Pablo López,MIN,13,9,3.75,30,30,0,0,0,186.0,764,170,84,77,23,45,1,8,196
13,Sonny Gray,STL,11,8,3.54,27,27,0,0,0,164.2,674,144,70,65,18,46,1,6,176
14,Corbin Burnes,ARI,12,9,3.55,30,30,0,0,0,187.1,770,165,80,74,20,54,1,7,184
15,Yoshinobu Yamamoto,LAD,12,6,3.43,26,26,0,0,0,153.1,621,131,63,58,16,39,1,5,162
16,Justin Steele,CHC,11,7,3.47,29,29,0,0,0,168.0,693,152,70,65,17,46,1,6,163
17,Jacob deGrom,TEX,7,4,3.05,20,20,0,0,0,110.1,436,86,41,37,13,25,0,4,138
18,Blake Snell,LAD,11,6,3.34,28,28,0,0,0,156.2,643,115,63,58,17,68,1,4,203
19,Michael King,SDP,12,9,3.53,30,29,0,0,1,169.2,705,145,72,67,19,59,3,7,186
20,Joe Ryan,MIN,10,8,3.83,27,27,0,0,0,161.0,649,140,74,68,24,35,1,7,176
21,Cristopher Sánchez,PHI,10,8,3.60,29,29,0,0,0,169.0,703,161,74,68,16,45,3,5,146
22,Tyler Glasnow,LAD,9,6,3.42,22,22,0,0,0,133.0,532,104,55,51,16,39,1,3,164
23,Max Fried,NYY,12,8,3.41,27,27,0,0,0,167.0,689,148,69,63,16,48,1,6,158
24,Tanner Bibee,CLE,11,9,3.67,29,29,0,0,0,170.1,699,150,76,70,23,45,1,7,180
25,Aaron Nola,PHI,12,9,3.89,30,30,0,0,0,187.1,770,174,88,81,27,45,1,6,185
26,Spencer Schwellenbach,ATL,12,8,3.69,28,28,0,0,0,164.1,673,150,73,67,19,37,1,7,160
27,Hunter Brown,HOU,12,9,3.75,29,29,0,0,0,168.2,708,152,76,70,19,59,1,6,180
28,Sandy Alcantara,MIA,9,9,3.72,26,26,0,0,0,170.1,707,162,77,70,18,44,1,7,148
29,Gerrit Cole,NYY,12,8,3.76,28,28,0,0,0,173.2,710,151,79,73,25,48,1,6,180
30,Kevin Gausman,TOR,12,10,3.88,30,30,0,0,0,180.1,752,170,85,78,23,52,1,4,180
31,Luis Castillo,SEA,12,10,3.65,30,30,0,0,0,181.2,745,158,80,74,23,51,2,6,183
32,Hunter Greene,CIN,9,8,3.90,25,25,0,0,0,151.1,629,123,71,65,22,54,1,11,178
33,Seth Lugo,KCR,12,10,3.93,30,30,0,0,1,182.2,764,177,87,80,22,48,2,7,161
34,Freddy Peralta,MIL,11,9,3.79,29,29,0,0,0,167.2,694,138,77,71,23,60,1,8,192
35,Zach Eflin,BAL,11,9,3.85,29,29,0,0,0,171.0,700,169,80,73,23,28,1,5,144
36,Tanner Houck,BOS,10,9,3.87,33,28,0,0,0,170.2,720,161,80,73,16,51,3,12,151
37,Shota Imanaga,CHC,12,7,3.63,28,28,0,0,0,171.0,694,154,75,69,26,37,1,5,171
38,Reynaldo López,ATL,10,7,3.56,28,28,0,0,2,156.0,646,135,67,62,18,52,2,4,166
39,Zac Gallen,ARI,13,8,3.78,29,29,0,0,0,171.1,712,155,78,72,19,52,1,6,172
40,Yusei Kikuchi,LAA,10,10,3.94,30,30,0,0,0,170.2,710,156,81,75,26,51,1,5,190
41,Ranger Suárez,PHI,10,8,3.71,32,27,0,0,0,157.1,659,148,70,65,16,49,1,5,142
42,Spencer Strider,ATL,9,5,3.47,19,19,0,0,0,111.1,454,87,47,43,13,38,1,4,148
43,Bailey Ober,MIN,11,9,3.95,29,29,0,0,0,171.0,695,150,82,75,26,41,1,6,176
44,Roki Sasaki,LAD,9,6,3.46,23,23,0,0,0,131.1,536,106,55,50,16,42,1,7,153
