Rank,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
1,Tarik Skubal,DET,14,7,2.71,29,29,0,0,0,188.0,736,144,62,57,18,38,1,6,228
2,Paul Skenes,PIT,12,8,2.76,30,30,0,0,0,184.1,732,143,61,56,15,46,1,6,221
3,Garrett Crochet,BOS,14,8,3.04,29,29,0,0,1,180.1,721,144,66,61,19,47,2,5,221
4,Logan Webb,SFG,13,10,3.30,30,30,0,0,0,192.2,793,182,77,71,15,44,1,6,183
5,Cristopher Sánchez,PHI,12,7,3.19,29,29,0,0,0,185.0,755,166,71,66,16,46,2,6,180
6,Chris Sale,ATL,11,6,3.18,25,25,0,0,0,156.0,633,128,60,55,17,41,1,9,192
7,Yoshinobu Yamamoto,LAD,12,7,3.25,26,26,0,0,0,160.1,650,130,63,58,16,47,1,5,174
8,Cole Ragans,KCR,10,8,3.43,26,26,0,0,0,153.1,627,122,63,58,17,54,2,5,190
9,Framber Valdez,DET,13,10,3.49,29,29,0,0,0,186.0,776,165,78,72,16,61,1,8,173
10,Jesús Luzardo,PHI,12,9,3.64,29,29,0,0,0,175.1,718,150,77,71,21,54,1,5,193
11,Max Fried,NYY,14,8,3.32,29,29,0,0,0,179.1,739,157,72,66,16,53,1,7,170
12,Hunter Brown,HOU,12,9,3.49,29,29,0,0,0,178.1,735,151,75,69,20,58,1,7,193
13,Dylan Cease,TOR,10,9,3.71,29,29,0,0,0,168.0,698,140,75,69,20,64,1,5,199
14,Sonny Gray,BOS,12,9,3.81,28,28,0,0,0,166.2,686,153,77,70,21,43,1,5,176
15,Jacob deGrom,TEX,10,7,3.43,26,26,0,0,0,157.0,627,129,65,60,21,36,1,4,177
16,Bryan Woo,SEA,13,8,3.41,29,29,0,0,0,182.2,730,150,75,69,24,38,1,7,184
17,Ranger Suarez,BOS,11,9,3.68,27,27,0,0,0,164.2,689,157,73,67,17,47,1,5,148
18,Logan Gilbert,SEA,10,8,3.43,28,28,0,0,0,164.1,655,135,68,63,22,37,1,6,184
19,Joe Ryan,MIN,11,10,3.82,28,28,0,0,0,168.0,681,145,78,71,25,39,1,8,185
20,Kevin Gausman,TOR,11,10,3.91,29,29,0,0,0,177.2,733,161,84,77,24,51,1,4,174
21,George Kirby,SEA,12,9,3.62,28,28,0,0,0,164.0,664,150,72,66,20,31,1,7,160
22,Zack Wheeler,PHI,9,5,3.30,21,21,0,0,0,129.1,522,105,51,47,15,35,1,6,149
23,Nathan Eovaldi,TEX,10,8,3.66,25,25,0,0,0,152.2,621,133,67,62,18,37,1,6,148
24,Kyle Bradish,BAL,8,7,3.61,24,24,0,0,0,135.1,559,116,59,54,15,43,1,6,146
25,Chase Burns,CIN,7,8,3.59,29,23,0,0,0,129.0,527,108,56,51,17,40,1,3,152
26,Freddy Peralta,NYM,12,8,3.76,28,28,0,0,0,162.1,671,133,74,68,22,60,1,7,181
27,Michael King,SDP,10,8,3.73,27,27,0,0,1,155.2,650,136,70,64,20,54,2,7,163
28,Brandon Woodruff,MIL,10,8,3.74,25,25,0,0,0,144.1,588,122,65,60,21,39,0,6,153
29,Drew Rasmussen,TBR,10,8,3.62,28,28,0,0,0,151.1,619,135,66,61,17,39,1,5,138
30,José Soriano,LAA,10,10,3.76,30,30,0,0,0,169.2,727,151,77,71,15,73,1,9,157
31,Eury Pérez,MIA,9,9,3.91,27,27,0,0,0,143.2,589,119,68,62,20,47,1,5,160
32,Nick Pivetta,SDP,10,9,3.91,28,28,0,0,0,167.2,685,142,79,73,26,50,1,5,183
33,Jack Flaherty,DET,10,10,4.05,28,28,0,0,0,156.2,656,140,77,70,21,54,1,7,173
34,MacKenzie Gore,TEX,10,10,3.91,28,28,0,0,0,155.2,655,137,74,68,20,59,1,6,175
35,Blake Snell,LAD,9,6,3.45,22,22,0,0,0,126.1,522,98,53,48,13,54,1,3,155
36,Kris Bubic,KCR,9,8,3.75,30,24,0,1,1,137.1,574,125,62,57,15,45,2,5,133
37,Matthew Boyd,CHC,10,9,3.89,27,27,0,0,0,157.2,654,144,74,68,21,44,1,7,144
38,Shohei Ohtani,LAD,8,5,3.37,22,22,0,0,0,113.0,458,90,46,42,14,34,1,5,134
39,Spencer Strider,ATL,11,9,3.95,26,26,0,0,0,155.0,647,133,74,68,21,56,1,7,180
40,Sandy Alcantara,MIA,10,11,4.16,28,28,0,0,0,176.0,742,170,88,81,21,51,1,7,148
41,Tanner Bibee,CLE,11,10,3.98,29,29,0,0,0,174.0,725,159,84,77,24,52,1,8,163
42,Aaron Nola,PHI,10,10,4.15,27,27,0,0,0,163.2,682,154,82,76,25,45,1,5,161
43,Andrew Abbott,CIN,10,9,4.11,28,28,0,0,0,164.0,687,154,81,75,26,51,1,4,149
44,Nick Lodolo,CIN,9,8,4.02,27,27,0,0,0,152.0,636,140,74,68,22,39,1,13,154
45,Tyler Glasnow,LAD,8,6,3.69,22,22,0,0,0,128.2,528,102,57,53,16,48,0,3,151
46,David Peterson,NYM,9,7,3.95,28,28,0,0,0,159.2,685,153,76,70,16,61,2,7,142
47,Mitch Keller,PIT,9,11,4.32,30,30,0,0,0,175.2,747,173,92,84,22,53,1,10,154
48,Brady Singer,CIN,11,11,4.40,29,29,0,0,0,166.0,706,161,88,81,24,53,1,9,154
49,Nolan McLean,NYM,11,8,3.70,26,26,0,0,0,151.1,639,132,68,62,16,57,1,9,149
50,Emmet Sheehan,LAD,9,6,3.91,34,23,0,0,0,133.1,547,110,63,58,19,43,1,5,152
51,Luis Castillo,SEA,11,10,3.90,28,28,0,0,0,172.0,711,156,81,74,24,48,1,6,160
52,Trevor Rogers,BAL,9,8,4.03,25,25,0,0,0,146.1,616,138,71,65,17,47,1,5,127
53,Shane McClanahan,TBR,7,6,3.67,20,20,0,0,0,115.0,471,100,51,47,14,35,1,3,122
54,Yusei Kikuchi,LAA,8,10,4.24,29,29,0,0,0,165.2,704,157,85,78,25,59,2,5,168
55,Merrill Kelly,ARI,10,8,4.07,26,26,0,0,0,158.1,660,149,78,72,21,47,1,4,143
56,Casey Mize,DET,9,8,4.11,26,26,0,0,0,144.2,606,141,72,66,19,39,1,5,126
57,Trey Yesavage,TOR,8,6,3.82,31,24,0,0,0,131.2,551,108,61,56,16,55,1,5,147
58,Michael Wacha,KCR,10,10,4.35,27,27,0,0,0,162.0,685,160,85,78,22,48,1,5,125
59,Ryan Pepiot,TBR,11,10,4.03,30,30,0,0,0,166.2,692,142,81,75,25,58,1,8,170
60,Bubba Chandler,PIT,9,8,4.16,31,25,0,0,0,143.1,609,133,72,66,18,51,1,8,135
61,Bailey Ober,MIN,8,9,4.39,27,27,0,0,0,158.1,656,152,84,77,27,37,1,6,144
62,Braxton Ashcraft,PIT,7,7,3.85,37,22,0,1,1,132.2,562,128,62,57,14,42,2,6,119
63,Zac Gallen,ARI,12,10,4.19,29,29,0,0,0,176.1,742,166,89,82,23,57,1,6,167
64,Clay Holmes,NYM,10,9,3.86,28,27,0,0,5,144.0,620,138,67,62,13,54,2,9,119
65,Grayson Rodriguez,LAA,8,7,3.98,21,21,0,0,0,116.2,489,106,56,51,15,39,1,4,123
66,Shane Baz,BAL,9,9,4.15,27,27,0,0,0,155.1,654,142,78,72,22,52,1,8,153
67,Shota Imanaga,CHC,10,8,3.99,26,26,0,0,0,153.1,624,140,74,68,27,33,1,4,140
68,Gavin Williams,CLE,10,9,3.96,28,28,0,0,0,162.2,690,142,78,72,20,69,1,6,166
69,Robbie Ray,SFG,9,10,4.23,29,29,0,0,0,169.2,717,150,87,80,25,66,1,7,176
70,Edward Cabrera,CHC,8,7,3.98,24,24,0,0,0,133.2,562,114,64,59,16,52,1,7,143
71,Jack Leiter,TEX,9,10,4.29,29,29,0,0,0,162.2,689,144,84,77,24,64,1,7,157
72,Chris Bassitt,BAL,10,10,4.25,31,28,0,0,0,165.0,707,161,85,78,22,55,1,11,150
73,Joe Musgrove,SDP,8,7,3.96,22,22,0,0,0,126.0,526,118,60,55,17,33,1,9,120
74,Cody Ponce,TOR,7,7,4.03,33,19,0,1,0,123.2,520,114,60,55,17,40,1,6,127
75,Cam Schlittler,NYY,8,8,3.90,23,23,0,0,0,131.1,554,116,62,57,16,50,1,6,131
76,Braxton Garrett,MIA,6,6,4.03,27,20,0,1,0,115.2,483,113,56,52,14,27,1,6,103
77,Reid Detmers,LAA,7,9,4.27,30,23,0,0,1,135.1,573,123,70,64,19,50,3,6,147
78,Sean Manaea,NYM,8,7,4.15,34,23,0,0,0,133.2,555,117,67,62,19,41,1,7,140
79,Jacob Misiorowski,MIL,9,7,4.06,30,25,0,0,0,139.0,588,113,68,63,18,63,1,9,157
80,Carlos Rodón,NYY,11,8,4.04,24,24,0,0,0,139.2,581,118,68,63,20,50,1,6,148
81,Zebby Matthews,MIN,7,7,4.10,31,22,0,0,0,123.0,513,119,61,56,18,32,1,3,121
82,Brayan Bello,BOS,10,9,4.23,27,27,0,0,0,154.0,662,150,79,73,18,53,1,8,126
83,Shane Smith,CHW,8,9,4.11,28,28,0,0,0,157.0,664,139,78,72,21,58,1,10,154
84,Foster Griffin,WSN,6,7,4.15,28,22,0,0,0,126.2,535,120,63,58,16,41,1,6,115
85,Tatsuya Imai,HOU,7,7,4.25,26,26,0,0,0,149.0,636,133,77,70,20,62,1,8,148
86,Brandon Pfaadt,ARI,10,10,4.48,28,28,0,0,0,164.0,691,168,89,82,24,38,1,7,144
87,Shane Bieber,TOR,6,5,3.71,21,17,0,0,0,102.1,420,95,46,42,13,25,0,3,96
88,Michael McGreevy,STL,8,8,4.13,28,23,0,0,0,137.0,576,141,68,63,16,33,1,4,93
89,Jameson Taillon,CHC,10,9,4.38,26,26,0,0,0,153.0,637,152,81,75,25,36,1,4,119
90,Matthew Liberatore,STL,8,10,4.35,28,28,0,0,1,151.0,642,150,79,73,20,46,1,6,124
91,Taj Bradley,MIN,7,8,4.39,29,23,0,0,0,131.0,554,123,69,64,18,46,1,4,127
92,Tyler Mahle,SFG,7,8,4.02,23,23,0,0,0,129.1,544,123,63,58,16,40,0,4,107
93,Cade Horton,CHC,9,7,3.91,23,23,0,0,0,127.2,533,115,60,55,16,40,1,5,110
94,Cade Cavalli,WSN,7,8,4.23,24,24,0,0,0,135.1,584,133,69,64,16,48,1,8,114
95,Gerrit Cole,NYY,7,5,3.95,18,18,0,0,0,110.1,455,98,53,48,16,33,1,4,111
96,Steven Matz,TBR,6,6,4.12,32,20,0,1,1,123.2,521,123,61,57,17,34,1,5,102
97,Reynaldo López,ATL,8,7,3.96,29,23,0,1,2,131.0,553,122,63,58,17,46,1,4,129
98,Quinn Priester,MIL,9,8,4.14,25,25,0,0,0,142.0,603,137,71,65,17,46,1,6,116
99,Ryne Nelson,ARI,9,7,4.21,32,27,0,0,0,157.1,661,155,80,74,21,43,1,5,130
100,Dustin May,STL,8,9,4.29,29,24,0,0,0,141.2,605,131,73,67,17,53,2,9,127
101,Landen Roupp,SFG,7,7,4.09,27,23,0,0,0,120.2,517,114,60,55,13,48,1,4,112
102,Kodai Senga,NYM,8,6,3.93,29,21,0,0,0,123.2,525,106,59,54,15,53,1,5,127
103,Joey Cantillo,CLE,7,7,3.90,39,19,0,1,0,126.0,533,110,59,55,15,54,1,4,132
104,Chad Patrick,MIL,7,8,4.33,26,26,0,0,0,140.1,593,133,73,67,22,47,1,6,132
105,Hunter Greene,CIN,5,4,3.69,13,13,0,0,0,75.1,308,60,34,31,11,24,0,4,90
106,Noah Cameron,KCR,9,8,4.23,25,25,0,0,0,146.1,619,141,75,69,21,48,1,5,123
107,Adrian Houser,SFG,7,8,4.36,25,25,0,0,0,140.1,607,145,74,68,16,47,1,7,101
108,Eduardo Rodriguez,ARI,8,8,4.41,27,24,0,0,0,132.1,567,132,70,65,18,47,1,3,118
109,Bryce Miller,SEA,8,8,4.18,25,25,0,0,0,142.1,590,130,72,66,21,41,1,5,127
110,Jeffrey Springs,ATH,10,10,4.56,28,28,0,0,0,160.2,680,158,88,81,27,51,1,4,137
111,Justin Verlander,DET,7,8,4.40,23,23,0,0,0,127.2,542,124,68,63,19,41,1,5,107
112,Simeon Woods Richardson,MIN,7,7,4.57,29,24,0,0,0,132.0,565,126,73,67,19,50,1,4,119
113,Seth Lugo,KCR,9,9,4.41,26,26,0,0,0,153.2,654,151,82,75,23,50,1,6,130
114,Luis Severino,ATH,9,10,4.61,28,28,0,0,0,167.0,718,168,93,86,24,53,1,11,134
115,Parker Messick,CLE,7,6,4.00,22,22,0,0,0,116.0,492,111,56,52,14,38,1,5,105
116,Logan Henderson,MIL,6,6,4.07,28,16,0,0,0,100.1,415,89,49,45,15,30,1,3,101
117,Kyle Freeland,COL,7,12,5.13,28,28,0,0,0,158.1,689,181,98,90,26,42,1,6,116
118,Mason Miller,SDP,3,2,2.48,60,0,33,2,4,64.0,253,39,19,18,6,24,2,2,98
119,Zack Littell,WSN,7,8,4.47,27,24,0,0,0,138.1,579,142,75,69,23,29,1,5,105
120,Mike Burrows,HOU,6,7,4.11,29,23,0,0,0,126.0,530,114,63,58,19,44,1,5,122
121,Jacob Lopez,ATH,8,8,4.30,23,23,0,0,0,125.1,533,110,65,60,19,50,1,8,128
122,Andre Pallante,STL,7,9,4.39,25,24,0,0,1,131.0,570,134,69,64,13,51,1,4,90
123,Nick Martinez,TBR,9,9,4.41,38,22,0,1,1,142.0,599,142,76,70,20,38,1,6,110
124,Zach Eflin,BAL,9,8,4.42,28,24,0,0,0,138.1,577,144,74,68,22,27,1,4,107
125,Max Meyer,MIA,6,8,4.34,27,22,0,0,0,125.1,533,123,66,60,17,41,1,5,114
126,Cade Smith,CLE,5,4,2.93,67,0,32,3,5,68.1,274,52,24,22,6,20,2,3,88
127,Ryan Weathers,NYY,7,7,3.99,31,21,0,0,0,122.2,515,111,59,54,17,41,1,5,118
128,Will Warren,NYY,7,8,4.28,34,21,0,0,0,123.0,523,116,64,59,17,44,1,5,123
129,Spencer Schwellenbach,ATL,4,3,3.62,11,11,0,0,0,65.2,265,59,29,26,8,14,1,2,64
130,Dean Kremer,BAL,9,8,4.42,31,22,0,1,0,131.1,554,128,70,64,20,40,0,4,112
131,Justin Steele,CHC,5,4,3.64,13,13,0,0,0,72.1,298,66,32,29,8,19,0,3,68
132,Jared Jones,PIT,5,5,4.00,17,15,0,0,0,82.0,343,74,40,36,11,27,1,4,85
133,Rhett Lowder,CIN,5,6,4.40,27,18,0,1,0,104.1,446,104,55,51,14,33,1,5,83
134,Grant Taylor,CHW,4,4,3.44,67,2,6,14,2,80.1,335,67,33,31,7,31,2,3,96
135,Grant Holmes,ATL,6,7,4.20,30,20,0,1,1,121.2,520,114,62,57,16,46,2,5,121
136,Roki Sasaki,LAD,6,5,4.17,30,18,0,1,0,106.0,453,96,53,49,13,43,1,6,101
137,Ian Seymour,TBR,6,6,4.07,33,14,0,1,0,98.1,410,89,48,44,13,30,1,5,96
138,Jhoan Duran,PHI,5,4,2.88,66,0,33,2,4,66.2,272,54,23,21,5,20,2,4,77
139,Cristian Javier,HOU,8,9,4.68,25,25,0,0,0,137.2,588,125,78,72,22,58,0,5,124
140,Griffin Jax,TBR,4,4,3.10,62,0,18,12,6,63.0,254,50,24,22,6,17,2,2,80
141,Slade Cecconi,CLE,7,9,4.58,26,26,0,0,0,149.1,627,149,83,76,25,38,1,6,123
142,Kumar Rocker,TEX,5,6,4.30,29,16,0,1,0,96.0,407,92,50,46,12,31,1,4,85
143,Chris Paddack,MIA,5,7,4.82,28,21,0,0,0,119.0,504,125,69,64,20,30,1,3,93
144,José Berríos,TOR,7,7,4.33,37,17,0,1,0,118.1,501,114,62,57,18,36,1,6,100
145,Hunter Barco,PIT,5,4,4.07,31,10,0,1,0,79.1,340,73,39,36,9,32,1,4,73
146,Robby Snelling,MIA,5,5,4.10,15,14,0,0,0,78.1,335,77,39,36,9,28,0,3,68
147,Edwin Díaz,LAD,5,3,3.05,62,0,36,2,5,65.0,262,47,24,22,7,22,1,4,89
148,Aaron Civale,ATH,6,7,4.66,22,22,0,0,0,121.1,517,119,68,63,20,39,1,6,105
149,Bryan Abreu,HOU,3,3,3.13,65,0,11,20,4,67.1,279,51,25,23,7,28,1,4,90
150,Davis Martin,CHW,7,10,4.60,27,27,0,0,0,151.0,652,152,84,77,22,53,2,8,117
151,Logan Allen,CLE,7,8,4.51,25,21,0,0,0,117.2,511,119,64,59,17,45,1,4,95
152,Jose Quintana,COL,7,9,5.06,22,22,0,0,0,127.1,565,140,78,72,19,49,1,5,89
153,Johan Oviedo,BOS,5,5,4.27,32,14,0,1,0,94.2,406,84,49,45,12,41,1,6,90
154,Aroldis Chapman,BOS,4,3,3.06,56,0,28,2,4,55.2,228,40,21,19,5,24,1,2,77
155,Jacob Latz,TEX,4,4,4.22,40,12,0,2,1,101.1,434,90,52,47,13,47,2,3,95
156,Anthony Kay,CHW,6,8,4.45,28,21,0,0,1,122.0,528,120,66,60,16,48,2,6,99
157,Lucas Giolito,,7,7,4.57,23,20,0,0,0,112.1,483,109,62,57,17,44,1,3,101
158,Michael Lorenzen,COL,6,11,5.17,25,25,0,0,0,141.1,621,152,88,81,24,51,1,6,112
159,Devin Williams,NYM,5,4,3.18,64,0,31,3,4,64.2,265,47,25,23,6,27,1,3,84
160,Patrick Sandoval,BOS,4,5,4.11,35,9,0,1,0,76.0,329,73,38,35,8,33,1,3,72
161,Jeremiah Estrada,SDP,4,3,3.39,65,0,3,22,2,66.2,274,51,27,25,8,26,2,2,88
162,Miles Mikolas,WSN,7,10,4.86,26,26,0,0,0,142.1,606,154,84,77,24,33,1,5,94
163,Connelly Early,BOS,3,3,3.72,18,7,0,1,0,47.2,201,42,21,20,5,18,0,3,49
164,Brad Lord,WSN,4,6,4.33,36,14,1,1,0,98.2,421,97,52,47,12,33,1,4,79
165,Abner Uribe,MIL,3,3,3.18,65,0,17,16,3,66.2,279,52,26,24,5,29,2,4,78
166,Hunter Dobbins,STL,5,5,4.37,26,13,0,1,1,84.0,359,84,44,41,10,27,1,4,63
167,Bryce Elder,ATL,7,7,4.66,24,20,0,1,0,115.2,501,120,65,60,15,40,1,5,95
168,Luis Morales,ATH,7,7,4.54,26,20,0,0,0,113.0,484,106,62,57,17,45,1,4,100
169,Michael Soroka,ARI,5,6,4.21,39,12,1,2,0,95.1,405,85,48,45,12,35,1,7,96
170,Garrett Whitlock,BOS,4,3,3.35,58,0,5,19,2,64.0,263,56,26,24,6,18,1,3,71
171,Max Scherzer,TOR,5,5,4.57,22,13,0,0,0,79.1,330,76,44,40,14,21,0,3,77
172,Kyle Leahy,STL,5,6,4.45,44,14,0,2,3,113.2,490,113,61,56,14,42,1,4,93
173,Ryan Feltner,COL,4,6,5.16,27,17,0,0,0,100.0,441,106,62,57,14,41,0,4,82
174,Carmen Mlodzinski,PIT,4,4,3.76,46,5,0,3,2,74.1,314,70,34,31,7,25,1,3,67
175,Andrés Muñoz,SEA,4,3,2.91,61,0,34,2,5,62.2,257,46,22,20,5,25,2,4,78
176,Brandon Sproat,MIL,4,4,4.21,25,11,0,1,0,74.0,317,69,38,35,8,28,1,4,63
177,J.T. Ginn,ATH,4,4,4.22,28,10,0,1,0,73.2,315,70,38,35,9,26,1,4,69
178,David Bednar,NYY,4,4,3.35,60,0,32,2,4,60.2,247,49,25,23,7,20,2,2,72
179,Andrew Painter,PHI,5,6,4.66,25,17,0,1,0,98.1,423,98,55,51,15,36,1,3,83
180,Will Vest,DET,4,4,3.35,62,0,8,15,4,64.2,268,57,26,24,6,20,1,2,66
181,Hunter Harvey,CHC,3,2,3.34,50,0,4,16,3,52.1,214,45,21,19,5,15,1,2,56
182,Adrian Morejon,SDP,5,4,3.42,63,0,3,16,2,65.0,269,57,27,25,6,20,1,2,65
183,Luis Gil,NYY,6,5,4.25,37,13,0,0,0,97.1,416,82,50,46,13,47,1,4,97
184,Randy Vásquez,SDP,6,8,4.81,29,24,0,0,0,128.2,561,133,75,69,19,46,1,7,89
185,Orion Kerkering,PHI,5,4,3.51,63,0,2,16,4,63.0,265,54,27,25,6,23,1,4,67
186,Sean Burke,CHW,7,9,4.78,26,26,0,0,0,142.2,621,137,83,76,24,62,1,6,134
187,David Festa,MIN,3,3,4.22,19,8,1,1,0,52.0,220,48,27,24,7,18,0,2,53
