#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
1,Aaron Judge,NYY,146,521,639,146,71,26,1,48,105,118,106,11,167,6,5,0,6,2,0.281
2,Bobby Witt Jr.,KCR,153,606,667,180,104,37,7,32,109,98,48,5,111,6,6,1,39,9,0.297
3,Gunnar Henderson,BAL,152,582,664,157,89,32,5,31,99,92,71,3,153,6,4,0,16,4,0.270
4,Juan Soto,NYM,153,538,674,146,82,28,2,34,104,94,127,7,117,4,4,1,8,3,0.271
5,Shohei Ohtani,LAD,145,552,643,159,82,31,4,42,116,109,80,11,144,5,4,1,33,9,0.288
6,Mookie Betts,LAD,148,564,652,156,94,32,3,27,95,89,74,3,87,7,5,1,13,4,0.276
7,Corey Seager,TEX,127,483,549,137,77,27,1,32,77,88,55,7,96,5,4,0,1,0,0.284
8,Vladimir Guerrero Jr.,TOR,154,587,667,176,109,33,1,33,97,103,67,7,92,7,4,1,6,2,0.300
9,Yordan Alvarez,HOU,136,506,591,149,80,29,1,38,91,102,70,9,99,9,5,0,2,1,0.294
10,José Ramírez,CLE,153,591,661,160,94,34,4,28,94,89,59,10,76,4,6,1,31,9,0.271
11,William Contreras,MIL,148,547,619,144,91,28,1,24,75,88,63,2,135,5,3,1,5,2,0.264
12,Julio Rodríguez,SEA,147,581,641,159,101,26,4,27,90,84,47,3,154,9,3,0,29,7,0.274
13,Ronald Acuña Jr.,ATL,116,449,520,134,82,26,1,25,92,70,59,3,93,8,3,0,37,12,0.299
14,Francisco Lindor,NYM,153,591,671,150,89,31,2,29,93,85,60,2,131,10,5,1,22,7,0.254
15,Cal Raleigh,SEA,142,505,572,107,57,22,1,27,63,81,58,2,162,5,4,0,3,1,0.213
16,Fernando Tatis Jr.,SDP,146,563,632,154,89,31,3,31,98,89,57,2,142,7,4,1,25,7,0.273
17,Adley Rutschman,BAL,146,537,613,137,91,26,2,18,72,70,66,3,98,5,5,1,2,1,0.255
18,Austin Riley,ATL,150,578,649,157,90,31,3,33,92,98,55,3,155,10,5,0,2,1,0.272
19,Ketel Marte,ARI,141,538,614,148,88,32,3,26,84,92,65,4,111,6,4,1,6,2,0.275
20,Matt Chapman,SFG,148,550,624,134,72,30,2,30,84,85,63,1,160,7,5,0,7,2,0.244
21,Kyle Tucker,CHC,148,551,640,149,90,29,3,27,90,90,79,6,99,3,6,0,20,7,0.271
22,Will Smith,LAD,123,438,503,115,69,23,1,21,66,71,49,2,93,10,6,0,2,1,0.262
23,Jackson Merrill,SDP,152,583,631,160,100,33,4,23,83,81,37,3,111,3,5,3,15,4,0.275
24,Francisco Alvarez,NYM,123,416,465,93,58,17,1,18,51,56,40,1,119,6,3,1,1,1,0.223
25,Corbin Carroll,ARI,150,569,653,145,87,31,6,20,98,72,67,2,129,9,4,3,41,7,0.254
26,Rafael Devers,BOS,145,555,629,148,84,30,2,32,84,98,63,9,133,7,4,0,3,1,0.266
27,Patrick Bailey,SFG,113,388,430,88,61,18,1,9,42,41,35,1,101,3,4,1,2,1,0.228
28,Elly De La Cruz,CIN,150,580,648,147,85,32,5,25,99,76,59,3,202,5,3,1,50,9,0.253
29,Austin Wells,NYY,122,414,468,94,56,19,1,17,53,55,45,2,108,5,3,1,4,1,0.227
30,Trea Turner,PHI,146,581,636,159,105,32,4,19,85,77,40,0,123,6,4,1,23,6,0.274
31,Jarren Duran,BOS,148,585,646,158,96,36,6,20,94,74,51,2,147,7,3,1,33,6,0.269
32,Alex Bregman,BOS,145,557,633,145,91,29,2,23,78,81,61,0,83,7,7,1,2,1,0.260
33,Manny Machado,SDP,149,575,634,149,93,26,1,30,81,89,51,4,122,2,5,1,7,3,0.260
34,Bryce Harper,PHI,144,535,624,145,88,29,3,25,86,85,79,9,134,5,5,1,10,4,0.271
35,Wyatt Langford,TEX,140,528,593,138,82,27,5,24,84,70,54,2,120,6,4,1,18,4,0.261
36,Michael Harris II,ATL,141,545,594,149,96,31,3,20,84,71,39,3,118,6,3,1,21,5,0.274
37,Dansby Swanson,CHC,149,556,623,137,88,27,1,21,76,76,53,0,155,4,4,1,15,5,0.247
38,Willy Adames,SFG,150,569,642,137,81,29,2,25,80,79,63,2,158,3,5,0,11,4,0.241
39,Freddie Freeman,LAD,146,555,637,156,101,31,3,21,86,82,69,9,100,8,5,1,12,4,0.281
40,Jazz Chisholm Jr.,NYY,141,540,600,131,79,24,3,26,87,70,51,2,154,5,4,1,36,8,0.244
41,Sean Murphy,ATL,110,376,430,89,53,19,0,17,53,55,41,1,104,9,3,0,0,0,0.237
42,Mike Trout,LAA,107,398,463,104,54,20,2,28,68,72,54,4,121,7,3,0,6,2,0.261
43,Carlos Correa,MIN,120,454,516,121,79,23,1,18,63,63,50,2,99,4,4,0,0,0,0.267
44,Jordan Westburg,BAL,136,521,571,135,83,28,4,20,73,70,38,1,132,7,4,1,9,3,0.260
45,Alejandro Kirk,TOR,108,367,413,93,66,17,0,10,45,45,38,1,53,5,3,0,0,0,0.252
46,Marcus Semien,TEX,149,583,656,144,90,29,4,20,82,72,58,0,107,4,4,1,13,4,0.247
47,Yainer Diaz,HOU,134,509,543,140,96,26,1,17,63,68,26,1,96,4,4,1,1,0,0.276
48,Brent Rooker,ATH,142,532,602,133,71,25,2,35,83,88,55,4,178,10,4,0,7,2,0.249
49,Riley Greene,DET,142,536,609,139,86,29,4,21,78,73,64,3,157,5,4,0,6,2,0.260
50,Oneil Cruz,PIT,144,551,613,138,78,30,2,28,86,83,54,4,179,4,4,0,23,5,0.251
51,Yandy Díaz,TBR,141,546,614,152,106,26,1,20,75,76,58,1,91,6,3,1,2,1,0.278
