Rank,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
1,Aaron Judge,NYY,145,518,638,149,73,26,0,50,106,120,108,18,162,6,4,1,8,3,.287
2,Bobby Witt Jr.,KCR,151,599,660,175,103,35,6,31,104,96,48,5,113,6,6,1,37,9,.292
3,Cal Raleigh,SEA,150,539,624,121,59,22,1,39,82,103,74,7,172,6,4,1,7,3,.224
4,Shohei Ohtani,LAD,148,559,660,159,78,31,3,48,121,119,91,13,157,5,4,1,25,8,.285
5,Juan Soto,NYM,155,548,678,148,83,26,0,38,108,100,121,9,123,4,4,1,17,6,.270
6,Julio Rodríguez,SEA,152,598,659,163,103,26,6,28,96,87,48,4,146,9,4,1,26,7,.273
7,Gunnar Henderson,BAL,153,583,659,156,94,35,3,25,94,80,65,3,140,6,5,1,20,5,.268
8,Fernando Tatis Jr.,SDP,148,565,646,154,93,28,4,29,99,85,70,3,129,6,4,1,23,7,.273
9,Vladimir Guerrero Jr.,TOR,153,579,663,173,110,31,1,32,98,98,72,7,88,7,4,1,6,2,.299
10,Corey Seager,TEX,124,458,531,126,74,24,1,28,71,84,60,9,100,5,4,0,2,1,.276
11,Ketel Marte,ARI,140,534,612,148,86,31,2,29,86,95,67,4,101,6,4,1,5,2,.276
12,William Contreras,MIL,144,524,600,138,90,27,0,21,72,81,66,3,119,5,4,1,5,2,.263
13,Yordan Alvarez,HOU,129,470,552,137,76,27,1,33,83,91,69,9,92,8,5,1,3,1,.292
14,Will Smith,LAD,123,425,497,115,68,21,2,24,73,73,56,2,94,9,6,0,3,1,.271
15,Corbin Carroll,ARI,138,523,602,136,75,29,7,25,96,77,63,3,125,8,4,3,34,7,.260
16,Ronald Acuña Jr.,ATL,144,534,629,149,91,25,3,29,102,83,82,3,136,8,4,1,26,9,.278
17,Francisco Lindor,NYM,141,547,621,140,87,27,2,25,85,77,54,1,116,10,5,1,22,7,.256
18,José Ramírez,CLE,151,576,650,156,94,31,4,26,91,84,62,15,72,4,6,1,34,9,.270
19,Kyle Tucker,LAD,143,529,620,142,83,28,2,29,96,86,81,6,89,4,5,1,17,6,.269
20,Alejandro Kirk,TOR,122,429,484,115,78,20,0,18,59,62,45,2,59,5,5,1,0,0,.269
21,Wyatt Langford,TEX,142,533,613,133,78,27,3,25,87,74,70,3,144,6,4,1,20,5,.250
22,Junior Caminero,TBR,149,585,637,157,93,27,1,36,82,105,42,2,124,5,5,1,5,2,.268
23,Mookie Betts,LAD,143,545,621,145,92,31,2,20,83,77,63,1,71,6,6,1,8,3,.267
24,Willy Adames,SFG,152,569,650,133,75,28,1,29,85,84,69,2,173,4,5,0,11,4,.235
25,Trea Turner,PHI,143,572,628,162,111,29,5,17,86,74,40,0,113,5,4,1,25,6,.283
26,Matt Chapman,SFG,146,533,614,128,71,28,2,27,83,78,69,1,152,7,5,1,9,3,.240
27,Adley Rutschman,BAL,138,490,560,123,80,24,1,17,66,64,61,2,89,4,5,1,1,0,.251
28,Jackson Merrill,SDP,143,554,607,151,92,34,2,23,77,79,41,2,120,3,5,3,9,2,.272
29,Austin Riley,ATL,146,564,626,146,85,28,3,30,82,90,48,1,162,8,5,1,2,1,.259
30,Zach Neto,LAA,148,567,634,141,84,29,2,26,85,75,43,3,158,16,4,3,27,8,.249
31,Elly De La Cruz,CIN,149,574,641,147,91,30,4,22,92,70,58,5,177,3,4,2,41,10,.255
32,Alex Bregman,CHC,149,563,641,142,91,28,1,23,76,81,64,1,90,8,5,1,2,1,.252
33,Jeremy Peña,HOU,137,541,593,147,101,28,2,16,76,65,34,1,106,10,4,2,17,4,.272
34,Shea Langeliers,ATH,128,478,526,122,67,25,1,29,71,77,39,1,121,4,4,1,6,2,.256
35,Bryce Harper,PHI,140,522,607,143,86,28,2,26,84,86,75,8,127,5,4,1,10,4,.273
36,Dansby Swanson,CHC,153,564,629,139,88,27,2,22,79,77,51,1,163,4,4,1,15,4,.246
37,Manny Machado,SDP,147,568,629,148,93,27,0,28,79,86,52,4,121,2,6,1,8,4,.261
38,Pete Crow-Armstrong,CHC,147,561,618,137,82,27,6,22,87,67,36,2,154,8,5,7,35,6,.244
39,Xander Bogaerts,SDP,136,507,570,134,92,25,2,15,72,62,45,1,102,5,5,1,16,5,.265
40,Jazz Chisholm Jr.,NYY,140,519,585,121,71,21,3,27,85,68,56,2,158,5,4,1,31,8,.233
41,Byron Buxton,MIN,121,468,522,117,60,28,2,27,75,74,41,2,144,8,3,1,14,3,.250
42,Geraldo Perdomo,ARI,150,552,648,141,100,25,4,11,81,55,72,1,89,7,5,13,18,6,.255
43,Pete Alonso,BAL,153,574,655,144,81,26,0,37,87,99,62,4,154,13,5,1,3,1,.251
44,Roman Anthony,BOS,141,530,610,141,88,31,2,19,80,73,71,1,147,5,4,1,10,3,.265
45,Gabriel Moreno,ARI,113,394,441,108,76,20,2,10,53,52,39,2,75,4,4,1,4,2,.275
46,Kyle Schwarber,PHI,150,549,658,127,63,22,1,41,94,107,98,4,183,7,3,1,6,2,.231
47,Patrick Bailey,SFG,127,429,473,92,63,19,1,9,44,43,35,0,126,3,4,3,2,1,.214
48,Oneil Cruz,PIT,127,473,533,115,64,24,2,25,78,70,53,3,161,4,3,0,25,6,.244
49,Rafael Devers,SFG,150,558,649,140,81,27,1,32,85,93,81,9,155,6,4,1,2,1,.251
50,Austin Wells,NYY,117,394,441,85,50,17,1,18,49,52,37,1,110,5,3,1,3,1,.217
51,Maikel Garcia,KCR,150,577,640,156,109,31,3,13,82,66,52,1,92,2,6,3,25,8,.270
52,Brent Rooker,ATH,150,568,641,151,84,33,1,34,90,95,60,2,160,8,4,1,7,2,.266
53,Brendan Donovan,SEA,131,500,565,132,92,26,1,14,65,63,50,2,79,10,4,2,5,2,.264
54,Nick Kurtz,ATH,142,497,577,125,66,23,2,34,84,88,71,4,179,4,4,1,3,1,.251
55,Taylor Ward,BAL,148,552,630,136,81,26,1,27,81,82,66,1,155,7,5,1,5,2,.246
56,Bo Bichette,NYM,139,564,608,160,114,27,3,18,74,73,35,1,98,4,4,1,6,2,.285
57,Jackson Chourio,MIL,145,579,629,156,100,31,4,21,81,82,40,3,128,4,5,1,25,6,.269
58,Seiya Suzuki,CHC,139,524,597,133,78,27,2,27,82,83,64,2,151,4,5,1,10,3,.255
59,Otto Lopez,MIA,136,517,564,141,100,26,3,12,67,60,36,2,88,4,5,2,17,5,.274
60,Hunter Goodman,COL,137,510,555,130,72,29,1,28,69,87,34,0,145,6,5,0,2,1,.255
61,Yainer Diaz,HOU,131,488,519,131,89,24,1,18,59,66,23,1,91,3,4,1,2,1,.269
62,Marcus Semien,NYM,137,516,580,126,81,23,4,19,70,66,50,0,99,3,5,1,8,2,.245
63,Randy Arozarena,SEA,152,565,651,131,80,25,3,24,88,74,65,1,170,17,4,1,24,7,.232
64,Andy Pages,LAD,140,525,574,134,81,29,2,22,76,76,35,1,126,8,5,1,9,3,.256
65,Gleyber Torres,DET,147,553,634,141,97,27,0,17,75,69,70,0,110,4,6,1,7,3,.256
66,Ben Rice,NYY,132,475,541,118,67,23,3,26,73,71,54,0,113,8,4,1,5,2,.249
67,George Springer,TOR,131,499,568,131,80,23,2,27,82,76,57,1,111,6,4,1,12,3,.263
68,Miguel Vargas,CHW,138,513,580,125,73,29,1,22,70,71,55,1,110,6,5,1,7,2,.244
69,Nico Hoerner,CHC,146,556,607,154,118,26,3,6,73,54,36,1,57,9,5,1,26,7,.276
70,Luke Keaschall,MIN,127,476,537,129,90,27,2,10,68,52,46,2,91,9,5,1,20,6,.271
71,Brice Turang,MIL,149,566,633,144,104,23,5,12,77,59,57,1,134,2,4,4,31,6,.255
72,Trevor Story,BOS,136,522,575,130,82,24,3,21,74,70,36,1,154,6,4,1,22,6,.249
73,Freddie Freeman,LAD,143,542,618,147,92,31,1,22,83,82,63,7,112,7,5,1,8,3,.270
74,Yandy Díaz,TBR,142,550,616,157,109,25,0,23,77,85,56,1,93,5,4,1,2,1,.286
75,Jacob Wilson,ATH,138,536,579,157,121,27,2,7,66,57,29,1,47,6,4,3,5,2,.293
76,Riley Greene,DET,148,562,630,139,83,26,3,27,80,83,58,2,181,5,4,0,4,1,.248
77,Ian Happ,CHC,146,544,631,130,78,29,2,21,80,75,77,2,149,5,4,1,8,3,.239
78,Bo Naylor,CLE,120,393,446,84,49,17,2,16,50,50,44,1,115,3,3,2,5,2,.212
79,Kazuma Okamoto,TOR,126,460,523,109,61,22,0,25,66,74,52,2,114,7,4,1,1,0,.236
80,Trent Grisham,NYY,125,443,522,99,54,19,1,25,69,65,68,1,130,6,3,3,5,2,.223
81,Francisco Alvarez,NYM,111,384,430,85,54,14,1,16,47,52,37,1,116,6,3,1,1,0,.222
82,Brandon Nimmo,TEX,143,542,616,136,86,25,3,21,79,71,60,1,132,9,4,1,8,2,.251
83,James Wood,WSN,146,551,631,142,88,29,2,23,82,79,72,4,185,4,3,1,17,5,.258
84,J.P. Crawford,SEA,144,518,598,125,90,24,1,10,63,54,65,1,114,5,3,3,4,1,.241
85,Mike Trout,LAA,118,424,502,101,56,19,1,25,65,69,68,5,152,7,3,0,3,1,.238
86,Bryson Stott,PHI,137,504,559,129,89,23,3,13,70,57,46,1,95,3,4,1,22,5,.255
87,Ryan Jeffers,MIN,126,439,500,104,67,21,0,16,56,55,45,1,106,9,3,3,2,1,.236
88,Jake Cronenworth,SDP,141,498,576,118,77,24,2,16,67,60,60,1,116,10,4,2,5,1,.237
89,J.T. Realmuto,PHI,121,425,474,110,71,22,2,15,58,58,31,1,113,7,4,0,9,3,.258
90,Carlos Correa,HOU,129,486,546,126,89,22,0,15,62,61,49,2,108,3,4,1,0,0,.260
91,Colton Cowser,BAL,128,458,516,105,60,22,1,21,66,62,47,2,162,7,3,1,11,3,.229
92,Daulton Varsho,TOR,133,492,545,109,59,21,2,26,70,72,44,1,143,5,4,1,10,2,.221
93,Kevin McGonigle,DET,104,381,424,97,62,20,3,12,52,47,36,1,62,2,3,1,9,2,.254
94,Max Muncy,LAD,109,372,444,82,44,17,1,21,61,61,63,2,110,5,4,0,2,1,.222
95,Colson Montgomery,CHW,130,492,550,107,62,20,2,23,62,66,45,2,168,9,4,1,4,1,.217
96,Jarren Duran,BOS,140,546,608,143,87,34,4,19,82,71,50,1,139,7,3,1,25,5,.262
97,Drake Baldwin,ATL,133,478,532,122,83,22,1,16,60,63,45,1,97,4,4,1,0,0,.255
98,Wilyer Abreu,BOS,125,448,505,107,60,23,2,22,63,70,49,2,124,3,4,1,9,3,.240
99,Iván Herrera,STL,128,475,540,126,85,23,1,18,68,64,51,1,109,9,3,1,7,3,.266
100,Ezequiel Tovar,COL,147,582,627,154,97,33,3,21,74,79,31,0,157,4,5,5,10,3,.264
101,Jordan Westburg,BAL,94,366,401,95,58,18,3,16,53,50,26,0,92,5,2,1,5,2,.260
102,Dillon Dingler,DET,110,382,416,92,60,20,1,11,43,46,24,1,104,6,3,1,2,1,.241
103,Jackson Holliday,BAL,114,432,486,108,72,22,2,13,62,49,47,1,109,4,3,1,13,4,.251
