"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG"
"Shohei Ohtani","LAD","DH,SP","119.5","144","9","0","3.39","1.11","45","94","39","14","23","23","5","1"
"Tarik Skubal","DET","SP","193.0","235","14","0","2.72","0.97","58","147","40","18","31","31","7","1"
"Paul Skenes","PIT","SP","185.6","221","13","0","2.80","1.04","58","145","48","15","31","31","7","1"
"Garrett Crochet","BOS","SP","188.8","231","14","0","3.01","1.06","63","152","49","20","31","31","8","1"
"Cristopher Sanchez","PHI","SP","191.1","187","13","0","3.20","1.14","68","171","47","16","31","31","8","1"
"Yoshinobu Yamamoto","LAD","SP","159.3","174","12","0","3.28","1.11","58","129","48","16","27","27","6","0"
"Hunter Brown","HOU","SP","179.4","194","12","0","3.44","1.17","69","151","59","19","31","30","8","1"
"Chris Sale","ATL","SP","159.0","195","11","0","3.23","1.10","57","131","43","17","27","27","6","0"
"Logan Gilbert","SEA","SP","165.1","184","11","0","3.38","1.06","62","135","39","21","29","29","7","1"
"Bryan Woo","SEA","SP","186.5","189","13","0","3.41","1.05","71","156","40","24","31","31","9","0"
"Logan Webb","SF","SP","196.4","187","13","0","3.28","1.17","72","184","46","15","32","31","9","1"
"Jacob deGrom","TEX","SP","162.5","180","11","0","3.48","1.06","63","133","39","22","28","28","8","0"
"Cole Ragans","KC","SP","155.7","194","11","0","3.37","1.15","58","124","55","17","27","28","7","0"
"Max Fried","NYY","SP","182.6","172","14","0","3.32","1.16","67","159","54","17","30","30","8","1"
"Mason Miller","SD","RP","65.4","102","4","33","2.53","0.99","18","40","25","6","63","0","2","0"
"Freddy Peralta","NYM","SP","164.3","183","11","0","3.78","1.19","69","135","61","21","30","30","8","0"
"Edwin Diaz","LAD","RP","64.8","90","5","37","3.03","1.07","22","47","22","7","64","0","2","0"
"George Kirby","SEA","SP","170.3","167","12","0","3.57","1.10","68","155","33","21","30","30","8","0"
"Joe Ryan","MIN","SP","168.4","185","11","0","3.80","1.10","71","145","40","25","29","29","9","0"
"Dylan Cease","TOR","SP","169.8","200","11","0","3.69","1.21","70","141","65","20","31","30","9","0"
"Jesus Luzardo","PHI","SP","176.8","197","12","0","3.67","1.18","72","153","55","22","31","30","9","0"
"Framber Valdez","DET","SP","190.7","178","13","0","3.49","1.22","74","170","63","16","30","30","9","2"
"Jhoan Duran","PHI","RP","66.8","78","5","32","2.87","1.12","21","54","20","5","68","0","3","0"
"Andres Munoz","SEA","RP","63.2","80","4","32","2.92","1.12","20","46","25","5","64","0","3","0"
"Cade Smith","CLE","RP","69.1","89","5","31","2.88","1.07","22","53","21","6","70","0","3","0"
"Kyle Bradish","BAL","SP","138.0","149","9","0","3.58","1.18","55","119","44","15","25","26","7","0"
"Nolan McLean","NYM","SP","149.8","145","10","0","3.82","1.28","64","133","58","16","26","26","8","0"
"Nick Pivetta","SD","SP","169.7","184","10","0","3.90","1.15","74","144","51","26","29","29","9","0"
"Eury Perez","MIA","SP","137.5","152","8","0","3.92","1.17","60","115","47","19","27","27","8","0"
"Kevin Gausman","TOR","SP","178.8","175","12","0","3.93","1.21","78","163","52","24","30","30","9","1"
"David Bednar","NYY","RP","61.8","75","4","33","3.27","1.13","22","49","21","7","63","0","3","0"
"Aroldis Chapman","BOS","RP","59.8","83","4","31","3.00","1.15","20","43","27","5","62","0","3","0"
"Sonny Gray","BOS","SP","171.1","180","11","0","3.74","1.19","71","159","45","21","30","30","9","0"
"Devin Williams","NYM","RP","64.0","85","5","31","3.10","1.15","22","47","27","6","65","0","3","0"
"Tyler Glasnow","LAD","SP","130.0","152","9","0","3.65","1.17","53","104","48","16","23","23","6","0"
"Spencer Strider","ATL","SP","157.9","187","11","0","3.96","1.21","69","136","56","21","28","28","9","0"
"Blake Snell","LAD","SP","130.7","162","10","0","3.46","1.21","50","101","57","14","23","24","6","0"
