#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
1,Bobby Witt Jr.,KCR,150,617,679,182,108,36,8,31,108,96,50,5,106,6,5,2,36,11,0.296
2,Aaron Judge,NYY,150,548,673,151,78,24,1,47,115,111,112,15,174,7,5,1,8,2,0.275
3,Gunnar Henderson,BAL,150,597,684,164,94,30,5,34,108,91,75,1,146,6,4,3,18,5,0.274
4,Juan Soto,NYM,150,538,676,152,87,28,2,35,114,96,128,5,112,4,5,2,9,3,0.282
5,Mookie Betts,LAD,150,592,685,164,98,34,3,29,109,89,80,3,95,6,4,2,15,4,0.278
6,Julio Rodríguez,SEA,150,613,677,169,108,29,2,30,94,88,48,3,155,9,5,2,28,7,0.275
7,Yordan Alvarez,HOU,141,534,624,161,91,32,2,36,98,105,75,12,106,10,4,1,4,1,0.302
8,Fernando Tatis Jr.,SDP,150,607,679,168,95,34,2,38,106,101,58,0,142,7,4,2,19,5,0.277
9,José Ramírez,CLE,150,599,672,167,97,37,2,31,99,95,63,15,82,4,5,1,31,7,0.279
10,Shohei Ohtani,LAD,150,592,689,166,88,30,5,43,123,104,85,12,159,6,4,3,34,9,0.280
11,Francisco Lindor,NYM,150,608,688,156,96,31,2,28,100,81,63,1,131,10,4,3,24,5,0.257
12,William Contreras,MIL,147,573,653,157,99,32,2,25,86,86,70,3,136,5,5,1,7,2,0.273
13,Ronald Acuña Jr.,ATL,128,510,590,149,93,27,2,26,102,73,66,2,103,8,3,3,44,10,0.292
14,Cal Raleigh,SEA,137,527,595,118,64,23,1,30,72,82,59,2,164,4,4,1,4,1,0.223
15,Kyle Tucker,CHC,150,579,669,160,94,33,2,31,101,95,81,6,104,3,5,2,21,4,0.277
16,Corey Seager,TEX,126,503,572,142,85,28,1,29,87,80,58,10,97,5,4,2,3,1,0.283
17,Vladimir Guerrero Jr.,TOR,150,589,671,175,106,34,1,34,101,101,70,9,96,7,5,1,5,2,0.297
18,Ketel Marte,ARI,147,586,669,163,98,33,4,27,100,86,70,5,121,6,4,2,8,2,0.278
19,Elly De La Cruz,CIN,150,591,664,150,86,31,7,26,93,87,62,2,192,5,5,1,53,15,0.253
20,Jackson Merrill,SDP,150,594,641,165,104,31,5,25,80,90,38,1,106,4,5,1,14,4,0.278
21,Corbin Carroll,ARI,150,593,682,156,92,27,11,26,106,81,72,1,126,10,4,3,41,9,0.263
22,Michael Harris II,ATL,146,562,609,161,104,30,4,24,82,86,35,2,112,6,4,1,19,5,0.287
23,Adley Rutschman,BAL,138,539,620,141,92,27,1,20,84,70,71,3,97,4,4,2,2,1,0.261
24,Bryce Harper,PHI,150,572,671,160,92,37,1,31,100,95,88,10,144,5,5,1,11,3,0.279
25,Patrick Bailey,SFG,119,420,466,100,67,20,1,11,49,47,38,0,110,3,3,1,4,1,0.238
26,Marcus Semien,TEX,150,623,695,159,101,30,3,25,96,73,60,1,106,5,4,3,12,3,0.255
27,Austin Riley,ATL,150,601,671,160,95,31,2,32,95,95,55,1,163,9,5,1,2,1,0.267
28,Riley Greene,DET,147,583,664,156,98,30,5,23,89,79,69,3,159,5,4,2,7,2,0.268
29,Trea Turner,PHI,150,631,686,175,115,35,2,23,96,78,42,1,132,6,4,3,24,4,0.277
30,Bo Bichette,TOR,144,608,658,170,114,33,2,21,87,74,39,1,125,5,4,2,11,3,0.279
31,Freddie Freeman,LAD,150,578,666,166,104,35,2,24,94,92,73,9,111,9,5,1,11,3,0.287
32,Steven Kwan,CLE,150,612,695,174,126,30,4,14,94,62,71,1,71,6,4,3,19,4,0.284
33,Junior Caminero,TBR,141,571,621,151,96,26,2,28,77,90,41,2,134,5,4,0,5,2,0.266
34,Manny Machado,SDP,150,589,648,157,97,29,1,30,83,97,52,5,128,3,4,0,7,2,0.266
