#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
1,Paul Skenes,PIT,13,9,2.80,31,31,0,0,,188.0,760,147,65,59,16,55,0,8,241
2,Jacob deGrom,TEX,11,7,2.88,26,26,0,0,,152.0,603,116,53,49,17,30,0,5,206
3,Tarik Skubal,DET,13,9,2.93,32,32,0,0,,196.1,788,160,70,64,20,45,0,8,228
4,Garrett Crochet,BOS,12,8,3.04,31,31,0,0,,170.0,684,133,63,58,17,52,0,7,220
5,Zack Wheeler,PHI,13,9,3.33,32,32,0,0,,198.2,810,171,80,73,23,51,1,9,212
6,Chris Sale,ATL,14,8,3.07,31,31,0,0,,186.2,755,153,70,64,19,47,1,9,230
7,Tyler Glasnow,LAD,11,6,3.22,24,24,0,0,,143.2,580,117,56,51,16,41,0,4,178
8,Sonny Gray,STL,12,10,3.41,31,31,0,0,,184.2,764,164,76,70,20,51,0,7,197
9,Cole Ragans,KCR,12,10,3.51,31,31,0,0,,182.2,764,156,77,71,19,69,1,6,207
10,Dylan Cease,SDP,13,10,3.48,32,32,0,0,,189.0,787,155,79,73,22,70,1,6,224
11,Corbin Burnes,ARI,12,10,3.69,31,31,0,0,,190.0,793,178,85,78,20,54,0,7,193
12,Pablo López,MIN,12,11,3.63,32,32,0,0,,193.0,798,177,84,78,24,48,1,9,203
13,Logan Webb,SFG,12,11,3.43,32,32,0,0,,201.0,839,201,85,77,17,45,1,6,175
14,Framber Valdez,HOU,12,9,3.43,29,29,0,0,,184.2,767,173,78,70,16,59,0,9,177
15,Logan Gilbert,SEA,12,11,3.43,32,32,0,0,,198.2,808,176,82,76,25,43,1,6,208
16,Blake Snell,LAD,12,8,3.51,29,29,0,0,,170.0,712,134,72,66,21,73,0,5,221
17,Roki Sasaki,LAD,10,6,3.30,24,24,0,0,,138.2,567,110,55,51,16,43,0,7,179
18,Sandy Alcantara,MIA,10,11,3.81,29,29,0,0,,188.2,790,187,87,80,21,48,1,8,170
19,George Kirby,SEA,11,10,3.52,31,31,0,0,,180.1,735,169,76,70,23,27,0,7,171
20,Max Fried,NYY,12,9,3.42,29,29,0,0,,173.0,723,165,73,66,18,48,1,6,164
21,Aaron Nola,PHI,12,10,3.85,31,31,0,0,,187.2,781,179,87,80,26,45,1,6,185
22,Cristopher Sánchez,PHI,11,9,3.48,29,29,0,0,,169.2,707,164,73,66,17,48,0,6,149
23,Joe Ryan,MIN,10,9,3.77,28,28,0,0,,159.2,656,141,71,67,24,37,0,7,177
24,Yoshinobu Yamamoto,LAD,11,8,3.58,28,28,0,0,,158.2,655,144,69,63,19,43,0,5,167
25,Michael King,SDP,12,10,3.65,31,31,0,0,,179.2,753,157,79,73,22,64,1,8,191
26,Freddy Peralta,MIL,11,10,3.77,31,31,0,0,,178.0,744,151,80,74,24,63,0,8,205
27,Hunter Brown,HOU,11,9,3.70,29,29,0,0,,167.2,703,153,75,69,18,58,0,6,175
28,Shota Imanaga,CHC,11,9,3.65,29,29,0,0,,179.2,740,167,78,73,26,38,0,6,182
29,Gerrit Cole,NYY,12,10,3.99,31,31,0,0,,189.0,792,174,90,84,29,53,0,7,197
30,Yusei Kikuchi,LAA,11,10,3.77,31,31,0,0,,176.0,728,157,80,74,25,55,0,6,196
31,Shane McClanahan,TBR,10,8,3.44,34,26,0,1,,159.0,654,140,66,61,19,46,1,5,175
32,Spencer Strider,ATL,9,5,3.20,21,21,0,0,,119.1,485,92,46,42,13,39,0,5,158
33,Nathan Eovaldi,TEX,11,10,3.79,29,29,0,0,,176.0,735,168,81,74,22,47,1,7,171
34,Kevin Gausman,TOR,12,11,3.92,32,32,0,0,,193.1,813,183,91,84,26,55,0,5,192
35,Hunter Greene,CIN,10,10,4.17,29,29,0,0,,172.0,731,149,85,80,27,63,0,12,205
36,Ranger Suárez,PHI,11,9,3.60,40,28,0,1,,167.0,702,159,73,67,18,53,1,6,151
37,Justin Steele,CHC,11,9,3.57,29,29,0,0,,170.0,703,158,73,67,19,48,1,7,166
38,Luis Castillo,SEA,11,11,3.64,31,31,0,0,,184.1,767,166,81,74,24,52,1,7,187
39,Tanner Houck,BOS,11,10,3.98,40,29,0,1,,179.2,766,182,87,80,18,55,1,11,160
40,Spencer Schwellenbach,ATL,12,9,3.79,29,29,0,0,,172.0,716,165,79,72,21,43,1,8,166
