Rank,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
1,Aaron Judge,NYY,141,509,633,144,77,23,1,42,109,102,112,25,156,6,4,2,9,2,.283
2,Bobby Witt Jr.,KCR,140,574,634,168,99,36,5,28,99,89,47,6,106,6,4,2,31,10,.293
3,Gunnar Henderson,BAL,146,582,666,160,96,32,4,28,101,84,71,4,134,6,4,3,24,6,.275
4,Cal Raleigh,SEA,138,527,615,122,62,22,0,38,89,91,76,10,164,6,4,2,8,3,.230
5,Julio Rodríguez,SEA,139,560,618,154,95,27,2,30,85,91,44,4,134,8,4,1,23,6,.275
6,Juan Soto,NYM,138,494,621,135,77,23,1,34,105,89,117,8,111,4,4,2,20,6,.273
7,Shohei Ohtani,LAD,142,555,658,153,78,25,6,44,120,99,91,16,161,5,4,3,22,6,.275
8,Ronald Acuña Jr.,ATL,147,571,676,163,103,27,2,31,109,84,91,4,135,7,4,3,24,6,.286
9,Francisco Lindor,NYM,139,569,644,147,91,29,1,26,94,73,58,1,119,10,4,3,23,5,.259
10,Vladimir Guerrero Jr.,TOR,143,551,637,164,100,31,1,32,94,99,74,9,88,6,5,1,5,2,.297
11,Fernando Tatis Jr.,SDP,130,505,579,139,82,26,2,29,86,83,63,3,113,6,4,2,21,5,.275
12,Elly De La Cruz,CIN,140,544,617,143,85,29,5,23,83,82,63,6,154,4,4,1,38,11,.263
13,Yordan Alvarez,HOU,122,468,551,140,81,27,2,30,90,84,70,11,93,8,4,2,4,1,.299
14,Mookie Betts,LAD,132,518,591,142,88,28,3,22,84,79,64,2,70,4,4,1,8,2,.274
15,Corbin Carroll,ARI,136,528,607,138,76,25,10,27,91,85,65,2,126,8,4,1,32,8,.261
16,Ketel Marte,ARI,133,523,601,146,88,31,2,26,90,79,65,5,98,7,4,2,6,2,.280
17,José Ramírez,CLE,136,536,604,148,88,31,2,27,83,88,58,17,72,4,4,1,30,7,.275
18,William Contreras,MIL,132,508,586,137,89,28,1,20,74,74,69,4,110,4,4,1,6,2,.270
19,Alejandro Kirk,TOR,107,392,446,107,74,19,1,14,54,56,46,2,55,4,3,1,1,0,.274
20,Jackson Merrill,SDP,134,536,586,144,89,29,5,23,76,77,39,1,113,4,4,2,7,2,.269
21,Corey Seager,TEX,116,450,515,124,75,23,1,25,72,75,56,10,93,5,4,1,3,1,.276
22,Trea Turner,PHI,132,557,609,156,106,28,4,18,86,65,40,1,110,5,4,3,26,5,.280
23,Kyle Tucker,LAD,125,477,562,128,75,24,2,27,90,78,76,6,85,4,4,2,18,4,.269
24,Bo Bichette,NYM,132,537,585,155,105,30,1,18,73,74,38,1,96,4,4,1,6,2,.288
25,Geraldo Perdomo,ARI,126,482,562,130,90,25,3,12,77,55,68,1,74,6,4,3,19,5,.270
26,Masyn Winn,STL,146,589,649,154,104,32,2,16,78,68,47,0,111,6,4,2,13,4,.261
27,Junior Caminero,TBR,120,475,519,129,73,23,1,32,71,89,36,1,101,4,4,0,5,2,.271
28,Alex Bregman,CHC,142,557,638,145,92,28,1,23,85,77,67,2,89,8,4,2,3,1,.260
29,Zach Neto,LAA,133,537,599,136,79,29,1,26,83,69,41,4,143,14,4,3,27,8,.252
30,Maikel Garcia,KCR,138,558,620,154,105,32,4,13,82,62,53,0,91,2,4,3,26,7,.276
