Rank,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
1,Tarik Skubal,DET,14,9,2.79,32,32,0,0,,199.2,796,159,68,62,20,43,0,7,243
2,Paul Skenes,PIT,14,9,2.92,32,32,0,0,,194.0,785,158,69,63,18,52,1,7,237
3,Garrett Crochet,BOS,14,9,3.02,32,32,0,0,,193.0,774,157,71,65,19,50,0,6,239
4,Cristopher Sánchez,PHI,14,9,3.15,32,32,0,0,,198.0,812,183,77,69,18,51,0,7,191
5,Chris Sale,ATL,12,8,3.19,28,28,0,0,,168.2,685,140,65,60,18,44,1,9,206
6,Logan Webb,SFG,13,10,3.31,32,32,0,0,,199.1,831,194,82,73,17,47,1,6,187
7,Cole Ragans,KCR,12,9,3.31,29,29,0,0,,172.0,711,140,69,63,19,62,1,6,211
8,Jacob deGrom,TEX,11,9,3.52,29,29,0,0,,174.2,716,153,74,68,24,40,0,5,203
9,Sonny Gray,BOS,12,10,3.69,31,31,0,0,,181.1,757,171,81,74,21,48,1,6,190
10,Dylan Cease,TOR,12,9,3.54,31,31,0,0,,177.2,746,149,76,70,21,65,1,6,209
11,Framber Valdez,DET,12,10,3.43,31,31,0,0,,190.1,796,180,80,73,16,62,0,8,176
12,Zack Wheeler,PHI,11,7,3.20,26,26,0,0,,154.2,629,129,60,55,18,39,0,7,178
13,Max Fried,NYY,13,9,3.28,31,31,0,0,,189.1,789,176,77,69,19,54,1,7,180
14,Hunter Brown,HOU,12,10,3.63,31,31,0,0,,184.1,770,165,81,74,21,61,1,7,200
15,Jesús Luzardo,PHI,12,10,3.57,31,31,0,0,,181.0,752,159,78,72,23,57,1,6,198
16,Yoshinobu Yamamoto,LAD,11,7,3.45,26,26,0,0,,154.1,640,139,65,59,17,47,0,5,163
17,Nathan Eovaldi,TEX,11,9,3.65,29,29,0,0,,174.2,724,165,77,71,21,45,1,7,172
18,Joe Ryan,MIN,11,10,3.81,29,29,0,0,,172.2,713,155,78,73,25,42,0,8,189
19,Bryan Woo,SEA,12,10,3.59,32,32,0,0,,195.0,801,176,84,78,26,44,1,8,196
20,Ranger Suarez,BOS,11,10,3.74,29,29,0,0,,171.2,723,170,78,71,18,49,1,6,153
21,Drew Rasmussen,TBR,11,10,3.72,31,31,0,0,,171.0,714,164,77,71,19,45,1,6,161
22,Shane McClanahan,TBR,9,8,3.35,24,24,0,0,,142.1,584,123,58,53,16,42,0,4,158
23,Logan Gilbert,SEA,11,9,3.40,29,29,0,0,,166.1,678,144,68,63,21,39,1,6,182
24,George Kirby,SEA,12,10,3.51,31,31,0,0,,178.1,733,166,76,70,22,34,0,7,174
25,Brandon Woodruff,MIL,10,10,3.85,28,28,0,0,,167.2,695,151,77,72,24,46,0,7,176
26,José Soriano,LAA,11,11,3.68,31,31,0,0,,177.1,760,169,80,72,15,75,1,9,165
27,Aaron Nola,PHI,11,10,3.98,31,31,0,0,,180.2,758,174,86,80,26,47,1,6,175
28,Kevin Gausman,TOR,11,10,3.98,31,31,0,0,,185.1,783,176,88,82,25,55,1,4,181
29,Michael King,SDP,10,10,3.80,29,29,0,0,,166.2,703,150,76,70,22,58,1,7,173
30,Tyler Glasnow,LAD,10,7,3.61,24,24,0,0,,138.2,575,118,60,56,16,51,0,4,162
31,Kyle Bradish,BAL,10,8,3.71,26,26,0,0,,145.0,609,134,65,60,17,45,0,6,153
32,Blake Snell,LAD,10,7,3.54,24,24,0,0,,141.2,596,116,61,56,16,62,1,4,174
33,Freddy Peralta,NYM,11,9,3.80,29,29,0,0,,168.1,710,144,76,71,22,62,0,8,185
34,MacKenzie Gore,TEX,10,9,3.82,29,29,0,0,,161.1,682,142,74,69,21,61,0,6,182
35,Spencer Strider,ATL,10,9,3.82,28,28,0,0,,161.0,674,139,73,68,21,58,1,7,187
36,Nick Pivetta,SDP,10,10,3.97,29,29,0,0,,174.0,727,156,82,77,27,54,1,5,192
37,Eury Pérez,MIA,9,10,4.00,28,28,0,0,,154.0,648,135,73,68,22,54,0,5,171
38,Jack Flaherty,DET,10,10,3.89,29,29,0,0,,163.0,697,149,76,70,21,57,1,7,177
39,Yusei Kikuchi,LAA,10,11,4.11,31,31,0,0,,177.2,748,166,87,81,26,63,1,5,182
40,Shohei Ohtani,LAD,9,6,3.46,23,23,0,0,,117.0,480,98,49,45,15,36,0,5,136
41,Ryan Pepiot,TBR,10,11,4.02,31,31,0,0,,174.2,740,157,84,78,25,63,0,7,184
42,Sandy Alcantara,MIA,10,12,4.16,31,31,0,0,,186.2,795,190,94,86,22,56,1,8,158
43,Cody Ponce,TOR,10,9,3.88,51,23,0,1,,161.2,681,155,76,70,20,46,1,7,158
44,Nick Lodolo,CIN,9,10,4.03,28,28,0,0,,157.0,663,149,76,70,23,44,1,13,161
45,Emmet Sheehan,LAD,10,8,3.94,42,24,0,1,,151.2,637,133,71,66,23,53,1,6,171
46,Luis Castillo,SEA,11,10,3.86,31,31,0,0,,181.1,763,171,84,78,25,51,1,7,172
47,Merrill Kelly,ARI,10,10,4.12,29,29,0,0,,172.2,737,173,85,79,22,53,1,5,158
48,Joe Musgrove,SDP,10,9,3.91,28,28,0,0,,159.0,668,153,75,69,22,41,1,10,150
49,Brady Singer,CIN,10,11,4.37,31,31,0,0,,178.1,768,179,93,86,27,57,0,10,166
50,Tanner Bibee,CLE,10,11,4.10,31,31,0,0,,182.0,774,175,89,83,26,56,1,8,172
51,Carlos Rodón,NYY,10,9,3.96,28,28,0,0,,161.2,686,143,76,71,23,59,0,7,175
52,Grayson Rodriguez,LAA,8,8,3.82,23,23,0,0,,129.0,541,117,59,55,17,44,0,5,136
53,Mitch Keller,PIT,10,12,4.35,31,31,0,0,,179.2,771,182,94,87,23,55,1,10,156
54,Matthew Boyd,CHC,11,10,3.94,29,29,0,0,,173.2,731,164,82,76,24,52,0,7,156
55,Kris Bubic,KCR,9,9,3.91,34,24,0,1,,149.1,632,143,71,65,18,52,1,5,141
56,David Peterson,NYM,11,9,3.65,29,29,0,0,,169.2,728,163,76,69,17,65,1,8,150
57,Cade Cavalli,WSN,9,10,3.99,26,26,0,0,,156.0,666,154,75,69,17,53,1,9,131
58,Zac Gallen,ARI,11,11,4.24,31,31,0,0,,184.0,792,186,93,87,23,59,1,6,174
59,Casey Mize,DET,9,10,4.06,28,28,0,0,,150.2,637,149,73,68,20,42,0,5,133
60,Braxton Garrett,MIA,8,8,3.85,31,23,0,1,,135.0,569,135,63,58,16,34,1,7,118
61,Andrew Abbott,CIN,9,11,4.53,29,29,0,0,,170.1,730,168,91,86,30,55,1,5,157
62,Nolan McLean,NYM,10,8,3.70,26,26,0,0,,149.0,637,137,67,61,15,58,1,8,141
63,Foster Griffin,WSN,8,9,3.94,34,23,0,1,,140.1,594,140,67,61,17,41,1,6,120
64,Shane Bieber,TOR,8,7,3.74,31,19,0,1,,124.0,518,121,56,51,15,29,0,4,115
65,Bailey Ober,MIN,9,10,4.40,28,28,0,0,,159.2,677,160,83,78,27,39,0,6,145
